hidden,lr,epochs,patience,cv_acc_mean,cv_acc_std
75,0.05,100,5,0.91221059972106,0.013980580219343978
75,0.05,100,10,0.917231520223152,0.013018321164554359
75,0.05,200,3,0.91221059972106,0.013980580219343978
75,0.05,200,5,0.91221059972106,0.013980580219343978
75,0.05,200,10,0.917231520223152,0.013018321164554359
75,0.1,50,3,0.8745746164574616,0.015025238660391422
75,0.1,50,5,0.8737377963737796,0.015579718261022737
75,0.1,50,10,0.8754044630404463,0.016906325898978447
75,0.1,100,3,0.8745746164574616,0.015025238660391422
75,0.1,100,5,0.8737377963737796,0.015579718261022737
75,0.1,100,10,0.8754044630404463,0.016906325898978447
75,0.1,200,3,0.8745746164574616,0.015025238660391422
75,0.1,200,5,0.8737377963737796,0.015579718261022737
75,0.1,200,10,0.8754044630404463,0.016906325898978447
100,0.01,50,3,0.9147280334728034,0.013029694476419692
100,0.01,50,5,0.9147280334728034,0.013029694476419692
100,0.01,50,10,0.9147280334728034,0.013029694476419692
100,0.01,100,3,0.9147280334728034,0.013029694476419692
100,0.01,100,5,0.9147280334728034,0.013029694476419692
100,0.01,100,10,0.9147280334728034,0.013029694476419692
100,0.01,200,3,0.9147280334728034,0.013029694476419692
100,0.01,200,5,0.9147280334728034,0.013029694476419692
100,0.01,200,10,0.9147280334728034,0.013029694476419692
100,0.05,50,3,0.9038458856345886,0.013751292494892889
100,0.05,50,5,0.9038458856345886,0.013751292494892889
100,0.05,50,10,0.9071931659693167,0.01278090491990119
100,0.05,100,3,0.9038458856345886,0.013751292494892889
100,0.05,100,5,0.9038458856345886,0.013751292494892889
100,0.05,100,10,0.9071931659693167,0.01278090491990119
100,0.05,200,3,0.9038458856345886,0.013751292494892889
100,0.05,200,5,0.9038458856345886,0.013751292494892889
100,0.05,200,10,0.9071931659693167,0.01278090491990119
100,0.1,50,3,0.854550209205021,0.03278600456294446
100,0.1,50,5,0.8570362622036262,0.02696176145989016
100,0.1,50,10,0.8603835425383541,0.026841151842906235
100,0.1,100,3,0.854550209205021,0.03278600456294446
100,0.1,100,5,0.8570362622036262,0.02696176145989016
100,0.1,100,10,0.8603835425383541,0.026841151842906235
100,0.1,200,3,0.854550209205021,0.03278600456294446
100,0.1,200,5,0.8570362622036262,0.02696176145989016
100,0.1,200,10,0.8603835425383541,0.026841151842906235
